full_name,a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,first_obs,epoch
       (2011 GQ59),2.447,0.558,1.36,121.73,67.63,1.082,3.81,3.83,119,124,22.8,2011-01-27,2460200.5
       (2011 GR59),1.263,0.2543,1.64,142.41,115.17,0.942,1.58,1.42,13,54,23.7,2011-04-08,2455664.5
       (2011 GD60),1.083,0.1624,6.06,114.87,211.14,0.907,1.26,1.13,3565,252,21.9,2011-04-08,2460200.5
       (2011 GG60),1.034,0.6445,2.33,200.52,222.69,0.368,1.7,1.05,4482,111,22.16,2011-04-09,2460200.5
       (2011 GL60),1.967,0.3517,8.94,174.5,23,1.275,2.66,2.76,4037,118,21.25,2011-04-09,2460200.5
       (2011 GS60),3.361,0.9226,19.29,137.56,307.5,0.26,6.46,6.16,2323,72,19,2011-04-08,2460200.5
       (2011 GC62),0.9705,0.1882,18.54,202.5,118.63,0.788,1.15,0.956,10,28,23.6,2011-04-11,2460200.5
       (2011 GD62),3.085,0.6898,10.35,241.93,71.37,0.957,5.21,5.42,4295,925,17.05,2011-04-11,2460200.5
       (2011 GE62),2.317,0.5473,17.38,19.93,162.08,1.049,3.59,3.53,2,26,24.1,2011-04-12,2455664.5
       (2011 GH62),3.246,0.6324,19.55,25.45,183.42,1.193,5.3,5.85,69,69,20.7,2011-03-11,2460200.5
       (2011 GM62),1.24,0.2261,24.19,207.99,53.14,0.96,1.52,1.38,2760,80,22.8,2011-04-13,2460200.5
       (2011 GO65),1.917,0.3963,8.8,44.12,177.07,1.157,2.68,2.65,56,48,22.92,2011-03-26,2460200.5
       (2011 GP65),2.361,0.6446,11.65,14.65,274.4,0.839,3.88,3.63,138,52,20.8,2011-04-13,2460200.5
       (2011 GQ65),2.182,0.4302,22.4,91.8,111.55,1.244,3.12,3.22,4644,185,18.86,2011-04-14,2460200.5
       (2011 GV65),1.928,0.5593,9.17,19.71,116.86,0.85,3.01,2.68,12,17,24.5,2011-04-13,2455665.5
       (2011 GW65),1.262,0.1738,11.1,61.48,111.79,1.043,1.48,1.42,2,12,23.1,2011-04-14,2455666.5
       (2011 GX65),1.344,0.2863,22.86,42.24,263.37,0.959,1.73,1.56,1058,72,21.6,2011-04-14,2460200.5
       (2011 GD68),2.018,0.7432,33.81,90.16,333.35,0.518,3.52,2.87,2199,69,17.74,2011-04-15,2460200.5
       (2011 HG),2.674,0.6393,14.73,42.5,255.34,0.964,4.38,4.37,193,48,21,2011-04-21,2460200.5
       (2011 HH),1.303,0.2122,3.48,45.73,151.21,1.027,1.58,1.49,23,75,25.3,2011-04-23,2460200.5
       (2011 HJ),1.446,0.32,4.65,211.84,35.73,0.983,1.91,1.74,4,44,26,2011-04-24,2460200.5
       (2011 HO),3.269,0.6239,13.11,88.53,177.14,1.23,5.31,5.91,4500,167,19.73,2011-04-24,2460200.5
       (2011 HP),1.92,0.4806,3.73,229.5,46.3,0.997,2.84,2.66,3092,423,22.2,2011-04-13,2460200.5
       (2011 HQ),1.637,0.3079,11.92,70.32,145.14,1.133,2.14,2.09,626,174,21,2011-04-24,2460200.5
       (2011 HS),2.815,0.6921,7.87,182.35,334.52,0.867,4.76,4.72,61,79,21.1,2011-04-25,2460200.5
       (2011 HT),1.928,0.451,7.11,90.08,163.63,1.058,2.8,2.68,3020,223,22,2011-04-25,2460200.5
       (2011 HH1),1.899,0.6,11.21,71.82,223.39,0.76,3.04,2.62,13,47,21.73,2011-04-24,2455677.5
       (2011 HO4),1.704,0.2666,29.31,207.33,323.12,1.25,2.16,2.22,3347,80,20.53,2011-04-26,2460200.5
