full_name,a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,first_obs,epoch
   433 Eros (A898 PA),1.458,0.2228,10.83,304.29,178.91,1.133,1.78,1.76,46582,9130,10.41,1893-10-29,2460200.5
   719 Albert (A911 TB),2.636,0.547,11.58,183.85,156.23,1.194,4.08,4.28,41042,2076,15.59,1911-10-04,2460200.5
   887 Alinda (A918 AA),2.472,0.5709,9.4,110.42,350.47,1.061,3.88,3.89,38524,3463,13.88,1918-02-03,2460200.5
  1036 Ganymed (A924 UB),2.666,0.5329,26.69,215.5,132.48,1.245,4.09,4.35,36284,10279,9.26,1924-10-23,2460200.5
  1221 Amor (1932 EA1),1.919,0.4357,11.88,171.32,26.65,1.083,2.76,2.66,33450,622,17.38,1932-03-12,2460200.5
  1566 Icarus (1949 MA),1.078,0.8269,22.8,87.95,31.44,0.187,1.97,1.12,27042,1645,16.58,1949-07-01,2460200.5
  1580 Betulia (1950 KA),2.198,0.487,52.15,62.23,159.59,1.127,3.27,3.26,26007,1767,14.69,1952-10-27,2460200.5
  1620 Geographos (1951 RA),1.246,0.3355,13.34,337.17,276.95,0.828,1.66,1.39,26433,8170,15.27,1951-09-14,2460200.5
  1627 Ivar (1929 SH),1.864,0.3964,8.45,133.12,167.81,1.125,2.6,2.54,34485,13316,12.84,1929-09-25,2460200.5
  1685 Toro (1948 OA),1.368,0.4361,9.38,274.22,127.24,0.771,1.96,1.6,27616,5009,14.31,1948-07-17,2460200.5
  1862 Apollo (1932 HA),1.471,0.5599,6.35,35.56,286.05,0.647,2.29,1.78,34041,3461,16.08,1930-12-13,2460200.5
  1863 Antinous (1948 EA),2.26,0.6059,18.39,346.42,268.1,0.891,3.63,3.4,27693,1369,15.45,1948-03-05,2460200.5
  1864 Daedalus (1971 FA),1.461,0.6144,22.22,6.61,325.67,0.563,2.36,1.77,19329,4812,14.87,1971-03-24,2460200.5
  1865 Cerberus (1971 UA),1.08,0.4669,16.1,212.89,325.3,0.576,1.58,1.12,18245,2354,16.79,1971-11-10,2460200.5
  1866 Sisyphus (1972 XA),1.894,0.5382,41.21,63.46,293.11,0.875,2.91,2.61,25231,8252,12.54,1955-01-26,2460200.5
  1915 Quetzalcoatl (1953 EA),2.544,0.5703,20.4,162.94,347.79,1.093,3.99,4.06,18842,51,18.05,1953-03-09,2460200.5
  1916 Boreas (1953 RA),2.272,0.4496,12.88,340.6,335.89,1.251,3.29,3.43,25738,2304,14.95,1953-09-01,2460200.5
  1917 Cuyo (1968 AA),2.15,0.5057,23.96,188.28,194.55,1.063,3.24,3.15,25252,3644,14.41,1954-05-06,2460200.5
  1943 Anteros (1973 EC),1.431,0.256,8.71,246.3,338.41,1.064,1.8,1.71,18607,5734,15.7,1973-03-10,2460200.5
  1980 Tezcatlipoca (1950 LA),1.71,0.3647,26.87,246.55,115.49,1.086,2.33,2.24,26912,7035,13.87,1950-06-19,2460200.5
  1981 Midas (1973 EA),1.777,0.6501,39.82,356.85,267.82,0.622,2.93,2.37,18496,1203,15.28,1973-03-06,2460200.5
  2059 Baboquivari (1963 UA),2.642,0.5319,11.02,200.69,192.46,1.237,4.05,4.29,21402,1600,15.98,1963-10-16,2460200.5
  2061 Anza (1960 UA),2.265,0.5359,3.8,207.36,157.08,1.051,3.48,3.41,22802,1883,16.7,1960-10-22,2460200.5
  2062 Aten (1976 AA),0.967,0.1829,18.93,108.53,148.05,0.79,1.14,0.951,23339,1024,17.11,1955-12-17,2460200.5
  2063 Bacchus (1977 HB),1.078,0.3494,9.43,33.06,55.35,0.701,1.45,1.12,17055,1068,17.22,1977-04-24,2460200.5
  2100 Ra-Shalom (1978 RA),0.832,0.4365,15.76,170.78,356.08,0.469,1.2,0.759,17463,3209,16.23,1975-10-03,2460200.5
  2101 Adonis (1936 CA),1.874,0.7643,1.32,349.47,43.64,0.442,3.31,2.56,30790,123,18.72,1936-02-21,2460200.5
  2102 Tantalus (1975 YA),1.29,0.2993,64,94.35,61.52,0.904,1.68,1.47,17388,2148,16,1976-01-02,2460200.5
  2135 Aristaeus (1977 HA),1.6,0.5028,23.07,191.12,290.97,0.795,2.4,2.02,15749,61,18.05,1977-04-17,2460200.5
  2201 Oljato (1947 XC),2.178,0.7114,2.52,74.87,98.42,0.628,3.73,3.21,33583,1360,15.36,1931-12-03,2460200.5
  2202 Pele (1972 RA),2.291,0.5127,8.74,169.92,217.95,1.116,3.47,3.47,18101,324,17.14,1972-09-07,2460200.5
  2212 Hephaistos (1978 SB),2.161,0.8374,11.54,27.5,209.43,0.351,3.97,3.18,16544,4256,13.51,1978-09-27,2460200.5
  2329 Orthos (1976 WA),2.41,0.6536,24.47,169.28,146.08,0.835,3.98,3.74,17419,1952,14.57,1976-05-31,2460200.5
  2340 Hathor (1976 UA),0.8438,0.4499,5.86,211.3,40.09,0.464,1.22,0.775,16477,572,20.43,1976-10-25,2460200.5
  2368 Beltrovata (1977 RA),2.105,0.4134,5.22,287.3,43.13,1.235,2.98,3.06,16964,2195,15.15,1977-09-04,2460200.5
  2608 Seneca (1978 DA),2.528,0.5681,14.54,167.09,38.02,1.092,3.96,4.02,16284,83,17.48,1978-02-17,2460200.5
  3102 Krok (1981 QA),2.151,0.4496,8.44,172.05,154.79,1.184,3.12,3.15,15517,2557,16.17,1981-08-21,2460200.5
  3103 Eger (1982 BB),1.404,0.3543,20.93,129.74,254.09,0.907,1.9,1.66,15372,7905,15.33,1982-01-21,2460200.5
  3122 Florence (1981 ET3),1.769,0.4231,22.14,336.06,27.88,1.02,2.52,2.35,16423,8440,14.1,1979-03-09,2460200.5
  3199 Nefertiti (1982 RA),1.575,0.2842,32.96,339.99,53.43,1.127,2.02,1.98,14939,3774,15.03,1982-09-13,2460200.5
  3200 Phaethon (1983 TB),1.271,0.89,22.29,265.15,322.24,0.14,2.4,1.43,14705,6988,14.4,1983-10-27,2460200.5
  3271 Ul (1982 RB),2.101,0.3959,25.07,158.82,159.1,1.269,2.93,3.05,15132,245,16.58,1982-09-14,2460200.5
  3288 Seleucus (1982 DV),2.033,0.4562,5.93,218.62,349.3,1.106,2.96,2.9,15257,2583,15.35,1982-02-28,2460200.5
  3352 McAuliffe (1981 CW),1.879,0.3692,4.77,107.33,16.1,1.185,2.57,2.57,15607,2471,15.97,1981-02-06,2460200.5
  3360 Syrinx (1981 VA),2.467,0.7455,21.14,242.47,63.56,0.628,4.31,3.87,15056,646,16.04,1981-11-04,2460200.5
  3361 Orpheus (1982 HR),1.21,0.3229,2.66,188.68,302.36,0.82,1.6,1.33,14537,2742,19.56,1982-04-24,2460200.5
  3362 Khufu (1984 QA),0.9895,0.4686,9.92,152.42,55.07,0.526,1.45,0.984,7394,262,18.52,1984-08-30,2460200.5
  3551 Verenia (1983 RD),2.092,0.4873,9.51,173.78,193.28,1.073,3.11,3.03,14774,577,16.72,1983-09-07,2460200.5
  3552 Don Quixote (1983 SA),4.265,0.7078,31.09,349.94,316.58,1.246,7.28,8.81,14766,1408,13.05,1983-09-10,2460200.5
  3553 Mera (1985 JA),1.644,0.3201,36.78,232.49,288.92,1.118,2.17,2.11,14009,1566,16.43,1985-05-11,2460200.5
  3554 Amun (1986 EB),0.974,0.2806,23.36,358.61,359.42,0.701,1.25,0.961,12044,1979,15.91,1986-03-04,2460200.5
  3671 Dionysus (1984 KD),2.2,0.541,13.53,82.06,204.3,1.009,3.39,3.26,14475,1112,16.5,1984-05-27,2460200.5
  3691 Bede (1982 FT),1.775,0.2841,20.35,348.72,235,1.271,2.28,2.36,17789,7738,14.95,1975-06-09,2460200.5
  3752 Camillo (1985 PA),1.414,0.3015,55.56,147.96,312.22,0.987,1.84,1.68,17450,2931,15.19,1976-01-28,2460200.5
  3753 Cruithne (1986 TO),0.9978,0.5149,19.8,126.2,43.88,0.484,1.51,0.997,18276,1404,15.47,1973-10-17,2460200.5
  3757 Anagolay (1982 XB),1.835,0.4457,3.87,74.93,17.22,1.017,2.65,2.49,14759,198,19.04,1982-12-14,2460200.5
  3838 Epona (1986 WA),1.505,0.7023,29.2,235.47,49.73,0.448,2.56,1.85,13581,1512,15.7,1986-11-30,2460200.5
  3908 Nyx (1980 PA),1.928,0.4594,2.19,261.2,126.63,1.042,2.81,2.68,15898,2042,17.46,1980-08-06,2460200.5
  3988 Huma (1986 LA),1.544,0.3167,10.77,229.79,86.94,1.055,2.03,1.92,13767,672,17.94,1986-06-04,2460200.5
  4015 Wilson-Harrington (1979 VA),2.625,0.6316,2.8,266.76,95.47,0.967,4.28,4.25,26813,1506,16.19,1949-11-19,2460200.5
  4034 Vishnu (1986 PA),1.06,0.444,11.17,157.9,296.7,0.589,1.53,1.09,13475,719,18.53,1986-08-02,2460200.5
  4055 Magellan (1985 DO2),1.82,0.3262,23.26,164.82,154.41,1.226,2.41,2.46,14274,10687,14.95,1985-01-21,2460200.5
  4179 Toutatis (1989 AC),2.544,0.6247,0.45,125.34,277.87,0.955,4.13,4.06,32632,6728,15.31,1934-02-10,2460200.5
  4183 Cuno (1959 LM),1.981,0.636,6.67,294.35,237.04,0.721,3.24,2.79,23499,3643,14.17,1959-06-05,2460200.5
  4197 Morpheus (1982 TA),2.294,0.7724,12.6,7.01,122.56,0.522,4.07,3.48,25236,1018,15.03,1954-09-03,2460200.5
  4257 Ubasti (1987 QA),1.647,0.4683,40.72,169.16,278.92,0.876,2.42,2.11,13335,1426,16.01,1987-08-23,2460200.5
  4341 Poseidon (1987 KF),1.834,0.68,11.84,108.04,15.83,0.587,3.08,2.48,13304,900,16.08,1987-05-29,2460200.5
  4401 Aditi (1985 TB),2.584,0.5632,26.63,22.79,68.13,1.129,4.04,4.15,13625,1318,16.12,1985-10-14,2460200.5
  4450 Pan (1987 SY),1.442,0.5868,5.52,311.77,291.84,0.596,2.29,1.73,31367,1513,17.28,1937-02-06,2460200.5
  4486 Mithra (1987 SB),2.201,0.6625,3.04,82.22,168.9,0.743,3.66,3.27,13460,1873,15.61,1987-01-29,2460200.5
  4487 Pocahontas (1987 UA),1.73,0.2966,16.41,198.11,174,1.217,2.24,2.28,13058,776,17.49,1987-09-24,2460200.5
  4503 Cleobulus (1989 WM),2.703,0.5244,2.51,45.95,76.24,1.286,4.12,4.45,15587,1368,15.82,1980-12-30,2460200.5
  4544 Xanthus (1989 FB),1.042,0.2502,14.14,23.96,333.86,0.781,1.3,1.06,12748,2115,17.39,1989-03-30,2460200.5
  4581 Asclepius (1989 FC),1.023,0.3569,4.92,180.21,255.36,0.658,1.39,1.03,11706,424,20.74,1989-03-31,2460200.5
  4596 (1981 QB),2.24,0.52,37.07,154.21,248.38,1.075,3.4,3.35,15205,899,16.46,1981-08-28,2460200.5
  4660 Nereus (1982 DB),1.485,0.3587,1.45,313.12,159.51,0.953,2.02,1.81,15434,4991,18.75,1981-09-30,2460200.5
  4688 (1980 WF),2.232,0.5179,6.38,241.23,213.81,1.076,3.39,3.34,14739,332,19.6,1980-11-29,2460200.5
  4769 Castalia (1989 PB),1.063,0.4832,8.88,325.53,121.43,0.549,1.58,1.1,12445,675,17.51,1989-08-01,2460200.5
  4947 Ninkasi (1988 TJ1),1.37,0.1685,15.65,215.43,192.94,1.139,1.6,1.6,16577,835,18.08,1978-02-17,2460200.5
  4953 (1990 MU),1.621,0.6574,24.38,77.53,77.94,0.555,2.69,2.06,17954,2660,14.94,1974-07-21,2460200.5
  4954 Eric (1990 SQ),2.001,0.4493,17.43,358.42,52.58,1.102,2.9,2.83,17638,4674,12.55,1975-06-07,2460200.5
  4957 Brucemurray (1990 XJ),1.565,0.2188,35.01,254.88,97.5,1.223,1.91,1.96,17462,2167,15.11,1976-03-11,2460200.5
  5011 Ptah (6743 P-L),1.636,0.5,7.41,10.64,105.93,0.818,2.45,2.09,23011,637,16.7,1960-09-24,2460200.5
  5131 (1990 BG),1.486,0.569,36.43,110.36,135.85,0.641,2.33,1.81,16513,2650,14.83,1978-12-06,2460200.5
  5143 Heracles (1991 VL),1.835,0.7713,8.98,309.19,228.14,0.42,3.25,2.49,25631,4639,14.06,1953-11-30,2460200.5
  5189 (1990 UQ),1.552,0.478,3.58,135.07,159.96,0.81,2.29,1.93,12135,1783,17.84,1990-10-20,2460200.5
  5324 Lyapunov (1987 SL),2.985,0.6048,19.61,352.24,321.15,1.18,4.79,5.16,13252,390,15.34,1987-09-19,2460200.5
  5332 Davidaguilar (1990 DA),2.163,0.4555,25.52,142.77,306.06,1.178,3.15,3.18,17794,5789,15.04,1973-10-18,2460200.5
  5370 Taranis (1986 RA),3.322,0.6371,19.17,177.8,161.34,1.205,5.44,6.05,13632,354,15.23,1986-08-11,2460200.5
  5381 Sekhmet (1991 JY),0.9475,0.2964,48.97,58.53,37.42,0.667,1.23,0.922,10211,642,16.75,1991-05-14,2460200.5
  5496 (1973 NA),2.435,0.6352,68,101.05,118,0.888,3.98,3.8,17771,261,16.15,1973-07-06,2460200.5
  5587 (1990 SB),2.398,0.544,18.09,189.92,86.81,1.093,3.7,3.71,25601,4883,13.89,1953-12-07,2460200.5
  5590 (1990 VA),0.9856,0.2796,14.19,216.28,34.48,0.71,1.26,0.979,2218,67,19.91,1990-11-09,2460200.5
  5604 (1992 FE),0.9286,0.4061,4.71,311.9,82.67,0.551,1.31,0.895,12760,1163,17.38,1985-04-17,2460200.5
  5620 Jasonwheeler (1990 OA),2.159,0.4227,7.87,128.65,153.78,1.246,3.07,3.17,25051,650,17.12,1955-05-16,2460200.5
  5626 Melissabrucker (1991 FE),2.195,0.4548,3.85,173.1,231.83,1.197,3.19,3.25,19520,4396,14.34,1970-09-08,2460200.5
  5645 (1990 SP),1.355,0.3873,13.51,45.71,48.26,0.83,1.88,1.58,18086,1463,17.2,1974-08-13,2460200.5
  5646 (1990 TR),2.144,0.4359,7.91,14.11,335.77,1.209,3.08,3.14,12341,2498,15.51,1990-05-03,2460200.5
  5653 Camarillo (1992 WD5),1.794,0.3044,6.88,9.9,122.62,1.248,2.34,2.4,18213,3823,16.22,1974-03-24,2460200.5
  5660 (1974 MA),1.785,0.762,38.13,302.13,127.02,0.425,3.15,2.39,16737,461,15.52,1974-06-26,2460200.5
  5693 (1993 EA),1.271,0.5852,5.06,96.98,258.98,0.527,2.01,1.43,14653,2821,16.79,1984-01-10,2460200.5
  5731 Zeus (1988 VP4),2.266,0.6519,11.2,280.59,218.45,0.789,3.74,3.41,12731,1501,15.46,1988-09-13,2460200.5
  5751 Zao (1992 AC),2.101,0.4253,16.07,121.63,25.49,1.208,2.99,3.05,12574,2744,14.96,1989-03-10,2460200.5
  5786 Talos (1991 RC),1.081,0.8268,23.23,161.29,8.38,0.187,1.98,1.12,11737,1353,17.19,1991-09-03,2460200.5
  5797 Bivoj (1980 AA),1.894,0.4443,4.19,298.93,168.63,1.052,2.73,2.61,15950,454,18.88,1980-01-16,2460200.5
  5828 (1991 AM),1.698,0.6949,30.12,125.42,152.77,0.518,2.88,2.21,12090,1235,16,1991-01-14,2460200.5
  5836 (1993 MF),2.441,0.5364,7.95,238.72,78.06,1.132,3.75,3.81,15384,2240,15,1981-04-26,2460200.5
  5863 Tara (1983 RB),2.223,0.5055,19.49,168.88,115.54,1.099,3.35,3.31,14740,1472,15.84,1983-09-07,2460200.5
  5869 Tanith (1988 VN4),1.812,0.3211,17.93,227.85,230.84,1.23,2.39,2.44,16826,963,17.22,1977-02-16,2460200.5
  5879 Almeria (1992 CH1),1.625,0.2891,21.57,145.83,355.81,1.155,2.09,2.07,11465,1763,17.62,1992-02-08,2460200.5
  6037 (1988 EG),1.272,0.4997,3.51,182.22,242.29,0.636,1.91,1.43,12950,1058,18.87,1988-03-12,2460200.5
  6047 (1991 TB1),1.455,0.352,23.48,6.07,103.8,0.943,1.97,1.75,13449,857,17.84,1985-03-20,2460200.5
  6050 Miwablock (1992 AE),2.202,0.4371,6.4,88.16,285.03,1.24,3.17,3.27,25739,2712,15.01,1953-02-15,2460200.5
  6053 (1993 BW3),2.147,0.5287,21.58,318.23,74.93,1.012,3.28,3.15,17374,3262,15.1,1976-06-04,2460200.5
  6063 Jason (1984 KB),2.221,0.7622,4.96,169.06,337.59,0.528,3.91,3.31,22998,1305,16.02,1960-10-22,2460200.5
  6178 (1986 DA),2.814,0.5844,4.31,64.5,127.49,1.17,4.46,4.72,16981,1159,15.79,1977-07-17,2460200.5
  6239 Minos (1989 QF),1.151,0.4127,3.94,344.55,239.74,0.676,1.63,1.23,14890,1502,18.61,1983-01-14,2460200.5
  6455 (1992 HE),2.24,0.5726,37.34,26.9,262.77,0.958,3.52,3.35,12531,5113,14.1,1989-09-29,2460200.5
  6456 Golombek (1992 OM),2.192,0.4092,8.22,313.58,347.13,1.295,3.09,3.25,16251,2038,16.07,1979-08-22,2460200.5
  6489 Golevka (1991 JX),2.486,0.6125,2.27,209.47,68.69,0.963,4.01,3.92,8968,1017,19.22,1991-04-15,2460200.5
  6491 (1991 OA),2.502,0.5904,5.94,301.88,323.67,1.025,3.98,3.96,11898,202,18.72,1991-03-18,2460200.5
  6569 Ondaatje (1993 MO),1.626,0.2209,22.64,111.46,167.33,1.267,1.99,2.07,14667,5321,16.67,1983-12-29,2460200.5
  6611 (1993 VW),1.696,0.4847,8.7,230.77,281.62,0.874,2.52,2.21,14873,1418,16.9,1982-11-15,2460200.5
  7025 (1993 QA),1.476,0.3149,12.61,146.6,323.46,1.011,1.94,1.79,10919,963,18.08,1993-08-16,2460200.5
  7088 Ishtar (1992 AA),1.981,0.39,8.3,102.61,354.77,1.209,2.75,2.79,15468,1423,16.84,1981-03-03,2460200.5
  7092 Cadmus (1992 LC),2.546,0.6938,17.79,56.73,94.78,0.78,4.31,4.06,15935,1443,15.12,1980-06-02,2460200.5
  7236 (1987 PA),2.725,0.559,16.33,308.5,337.94,1.202,4.25,4.5,13249,272,18.32,1987-08-01,2460200.5
  7335 (1989 JA),1.772,0.4846,15.17,61.28,232.29,0.913,2.63,2.36,12735,2602,17.7,1989-04-06,2460200.5
  7336 Saunders (1989 RS1),2.306,0.4815,7.2,174.47,181.52,1.196,3.42,3.5,13229,910,18.91,1982-10-20,2460200.5
  7341 (1991 VK),1.841,0.5061,5.41,294.74,173.49,0.909,2.77,2.5,11636,2435,16.96,1991-09-12,2460200.5
  7350 (1993 VA),1.356,0.3911,7.26,133.11,336.65,0.826,1.89,1.58,22048,1785,17.21,1963-10-15,2460200.5
  7358 Oze (1995 YA3),2.199,0.5022,4.66,265.43,92.29,1.095,3.3,3.26,23200,7641,14.75,1959-12-02,2460200.5
  7474 (1992 TC),1.566,0.2922,7.09,88.61,275.67,1.108,2.02,1.96,11963,462,18.11,1990-08-19,2460200.5
  7480 Norwan (1994 PC),1.568,0.317,9.45,124.37,256.87,1.071,2.06,1.96,15029,1202,17.24,1982-05-01,2460200.5
  7482 (1994 PC1),1.349,0.3294,33.47,117.86,47.51,0.904,1.79,1.57,17476,1473,16.66,1974-09-22,2460200.5
  7753 (1988 XB),1.467,0.4816,3.12,73.39,280.08,0.761,2.17,1.78,12528,1305,18.02,1988-12-05,2460200.5
  7822 (1991 CS),1.123,0.1646,37.12,156.85,249.45,0.938,1.31,1.19,11845,3954,17.34,1991-01-19,2460200.5
  7839 (1994 ND),2.165,0.5187,27.11,102.51,228.35,1.042,3.29,3.19,10752,202,17.83,1994-07-03,2460200.5
  7888 (1993 UC),2.437,0.6631,26.08,165.9,323.02,0.821,4.05,3.81,12427,1430,15.19,1989-10-28,2460200.5
  7889 (1994 LX),1.262,0.3462,36.91,111.26,349.18,0.825,1.7,1.42,16475,5075,15.33,1977-08-10,2460200.5
  7977 (1977 QQ5),2.226,0.4664,25.16,134.14,248.11,1.188,3.26,3.32,24942,1780,15.19,1955-03-23,2460200.5
  8013 Gordonmoore (1990 KA),2.201,0.4313,7.57,105.55,146.79,1.251,3.15,3.26,26418,811,17.09,1951-09-01,2460200.5
  8014 (1990 MF),1.747,0.4562,1.87,209.84,114.74,0.95,2.54,2.31,12294,1272,18.88,1990-06-14,2460200.5
  8034 Akka (1992 LR),1.83,0.4091,2.02,232.83,68.21,1.081,2.58,2.48,11591,644,18.02,1992-05-21,2460200.5
  8035 (1992 TB),1.342,0.4626,28.31,185.62,6.1,0.721,1.96,1.55,11389,1493,17.12,1992-10-02,2460200.5
  8037 (1993 HO1),1.987,0.4173,5.91,22.39,105.72,1.158,2.82,2.8,15911,1898,16.63,1979-03-08,2460200.5
  8176 (1991 WA),1.575,0.6431,39.59,66.5,241.9,0.562,2.59,1.98,11725,951,17.02,1991-12-01,2460200.5
  8201 (1994 AH2),2.539,0.7065,9.55,164.1,25.13,0.745,4.33,4.05,15267,900,15.95,1981-12-16,2460200.5
  8507 (1991 CB1),1.687,0.5945,14.59,317.41,345.78,0.684,2.69,2.19,12052,596,17.21,1991-02-15,2460200.5
  8566 (1996 EN),1.506,0.4303,37.98,164.12,125.13,0.858,2.15,1.85,14918,3619,16.48,1983-04-06,2460200.5
  8567 (1996 HW1),2.045,0.4495,8.45,177.1,177.3,1.126,2.96,2.92,25109,5404,15.36,1955-05-23,2460200.5
  8709 Kadlu (1994 JF1),2.53,0.4895,3.52,119.18,153.71,1.292,3.77,4.03,12111,550,17.07,1990-09-23,2460200.5
  9058 (1992 JB),1.557,0.3597,16.09,218.3,307.1,0.997,2.12,1.94,11502,912,17.93,1992-01-09,2460200.5
  9162 Kwiila (1987 OA),1.497,0.5956,9.01,180.01,235.81,0.605,2.39,1.83,13109,772,18.02,1987-07-18,2460200.5
  9172 Abhramu (1989 OB),2.71,0.5529,7.84,287.6,74.14,1.212,4.21,4.46,11929,395,16.65,1989-07-07,2460200.5
  9202 (1993 PB),1.424,0.6077,40.8,315.89,212.37,0.559,2.29,1.7,10702,2099,16.12,1993-08-13,2460200.5
  9400 (1994 TW1),2.587,0.5809,36,3.36,62.14,1.084,4.09,4.16,11977,2264,14.84,1991-03-18,2460200.5
  9856 (1991 EE),2.242,0.6258,9.83,168.1,116.2,0.839,3.64,3.36,11992,1308,17.11,1991-03-13,2460200.5
  9950 ESA (1990 VB),2.439,0.5329,14.59,253.46,103.59,1.139,3.74,3.81,11848,777,16.21,1990-11-08,2460200.5
 10115 (1992 SK),1.249,0.3248,15.32,8.9,233.67,0.843,1.65,1.4,25693,2012,17.13,1953-10-12,2460200.5
 10145 (1994 CK1),1.901,0.6328,4.55,328.4,27.43,0.698,3.1,2.62,10638,1351,17.01,1994-02-10,2460200.5
 10150 (1994 PN),2.375,0.544,45.95,112.97,234.04,1.083,3.67,3.66,10558,1161,15.47,1994-08-07,2460200.5
 10165 (1995 BL2),1.235,0.5037,23.9,312.43,348.46,0.613,1.86,1.37,12054,1105,17.4,1991-02-22,2460200.5
 10302 (1989 ML),1.273,0.1369,4.38,104.28,183.61,1.099,1.45,1.44,12250,1230,19.45,1989-06-06,2460200.5
 10563 Izhdubar (1993 WD),1.007,0.2663,63.47,56.56,132.2,0.739,1.27,1.01,11187,659,16.94,1991-11-13,2460200.5
 10636 (1998 QK56),1.884,0.5127,13.58,172.93,286.31,0.918,2.85,2.59,24455,810,17.7,1955-05-16,2460200.5
 10860 (1995 LE),2.579,0.5743,4.15,257.21,75.51,1.098,4.06,4.14,9361,303,17.32,1995-06-03,2460200.5
 11054 (1991 FA),1.979,0.4467,3.08,339.06,92.34,1.095,2.86,2.78,31416,1431,17.07,1937-11-28,2460200.5
 11066 Sigurd (1992 CC1),1.392,0.3755,36.88,349.23,22.02,0.869,1.91,1.64,17210,2202,15.23,1976-04-01,2460200.5
 11284 Belenus (1990 BA),1.74,0.3374,1.99,311.73,171.13,1.153,2.33,2.3,26602,781,18.26,1950-12-09,2460200.5
 11311 Peleus (1993 XN2),2.117,0.5359,25.49,59.32,313.44,0.983,3.25,3.08,10754,768,15.92,1993-12-10,2460200.5
 11398 (1998 YP11),1.72,0.3895,15.02,144.74,74.78,1.05,2.39,2.26,15005,3432,16.41,1983-01-05,2460200.5
 11405 (1999 CV3),1.459,0.3941,22.86,141.26,96.38,0.884,2.03,1.76,16179,6763,15.27,1978-10-25,2460200.5
 11500 Tomaiyowit (1989 UR),1.08,0.3558,10.31,234.39,289.53,0.696,1.46,1.12,10889,1243,18.37,1989-10-25,2460200.5
 11885 Summanus (1990 SS),1.703,0.4745,19.43,359.78,116.21,0.895,2.51,2.22,12032,397,18.52,1990-09-25,2460200.5
 12538 (1998 OH),1.541,0.4062,24.54,220.7,321.79,0.915,2.17,1.91,11773,11286,15.97,1991-10-10,2460200.5
 12711 Tukmit (1991 BB),1.186,0.2721,38.49,294.97,322.86,0.863,1.51,1.29,11750,3271,16.04,1991-01-12,2460200.5
 12923 Zephyr (1999 GK4),1.963,0.4918,5.3,168.18,147.11,0.997,2.93,2.75,24823,2568,15.82,1955-04-21,2460200.5
 13553 Masaakikoyama (1992 JE),2.189,0.4639,5.88,193.46,109.98,1.173,3.2,3.24,16281,2131,16.54,1979-06-24,2460200.5
 13651 (1997 BR),1.336,0.3057,17.25,116.65,133.8,0.927,1.74,1.54,15689,1094,17.89,1980-02-09,2460200.5
 14402 (1991 DB),1.715,0.4018,11.42,158.21,51.39,1.026,2.4,2.25,11935,684,18.77,1991-02-13,2460200.5
 14827 Hypnos (1986 JK),2.844,0.6653,1.98,57.94,238.17,0.952,4.74,4.8,12022,187,18.87,1986-05-04,2460200.5
 15745 Yuliya (1991 PM5),1.72,0.255,14.43,132.6,140.66,1.281,2.16,2.26,15145,1628,17.41,1982-07-27,2460200.5
 15817 Lucianotesi (1994 QC),1.324,0.1181,13.87,162.48,94.25,1.168,1.48,1.52,10731,1939,18.47,1994-08-29,2460200.5
 16064 Davidharvey (1999 RH27),2.849,0.5894,4.54,335.56,104.75,1.17,4.53,4.81,10726,1054,16.86,1994-09-01,2460200.5
 16636 (1993 QP),2.31,0.468,7.21,296.79,47.37,1.229,3.39,3.51,10363,981,18.78,1993-08-23,2460200.5
 16657 (1993 UB),2.277,0.4607,24.95,31.2,21.27,1.228,3.33,3.44,10443,516,16.69,1993-10-23,2460200.5
 16816 (1997 UF9),1.443,0.6038,25.92,37.15,157.99,0.572,2.31,1.73,9616,1609,16.26,1997-10-29,2460200.5
 16834 (1997 WU22),1.468,0.4422,15.99,260.77,334.32,0.819,2.12,1.78,12870,3479,15.8,1988-10-08,2460200.5
 16912 Rhiannon (1998 EP8),1.751,0.2727,24.52,169.18,221.21,1.274,2.23,2.32,10956,257,17.92,1992-08-29,2460200.5
 16960 (1998 QS52),2.2,0.8589,17.52,260.16,243.25,0.31,4.09,3.26,14707,2233,14.42,1983-06-14,2460200.5
 17181 (1999 UM3),2.37,0.6739,10.65,113.56,36.79,0.773,3.97,3.65,24329,1132,16.78,1955-10-24,2460200.5
 17182 (1999 VU),1.387,0.5535,9.27,333.51,203.2,0.619,2.15,1.63,16943,1422,17.14,1977-07-18,2460200.5
 17188 (1999 WC2),2.216,0.637,29.45,269.77,287.26,0.804,3.63,3.3,12078,756,16.4,1990-07-27,2460200.5
 17274 (2000 LC16),2.733,0.5538,5.57,305.71,21.4,1.22,4.25,4.52,24909,1926,16.87,1955-10-23,2460200.5
 17511 (1992 QN),1.19,0.3589,9.58,355.9,202.42,0.763,1.62,1.3,11312,2776,17.32,1992-08-29,2460200.5
 18106 Blume (2000 NX3),2.444,0.512,4.22,109.17,235.01,1.193,3.7,3.82,16923,580,17.78,1977-09-04,2460200.5
 18109 (2000 NG11),1.881,0.3679,0.81,59.54,319.28,1.189,2.57,2.58,26366,1550,17.19,1951-11-08,2460200.5
 18172 (2000 QL7),2.425,0.5112,17.83,338.46,100.68,1.185,3.66,3.78,17020,4446,15.7,1977-07-21,2460200.5
 18736 (1998 NU),2.35,0.4908,2.81,297.42,222.94,1.197,3.5,3.6,25250,1670,15.99,1954-05-25,2460200.5
