Parameter Distribution Values Ranges
H johnsonsb (-0.9935870440044015,2.2890296117910696,6.140339461127827,28.764723060318502) (0,35)
omega pareto (2.361744794213135,-745.2220097319862,746.5347367329749) [0,15000]
obs-ast-dist lognorm (1.2598414405340927,-0.0019218138555308834,0.1266514753689951) (0,2)
sun-ast-dist cauchy (1.0758157182196015,0.07079504200127112) [0,3]
phase_angle lognorm (0.5223013308978907,-8.526357942624061,32.421789389512846) (0,360)
